IndiceGini,Inflacao,TaxaDesemprego,PopulacaoUrbana,Pobreza
58.7,7.04414105947266,10.89,81.19,14.0
58.4,6.84035902487523,10.65,81.55,13.0
58.1,8.45016437708331,10.64,81.88,11.7
57.6,14.7149197228147,11.17,82.20,12.6
56.5,6.59718509985963,10.07,82.52,11.1
56.3,6.86953720898964,10.55,82.83,10.0
55.6,4.18356812896909,9.69,83.14,8.3
54.9,3.64127299102652,9.28,83.44,7.9
54.0,5.67859390284168,8.27,83.74,6.5
53.7,4.88803479876799,9.42,84.04,6.1
53.3,5.03872690108075,8.42,84.33,5.7
52.9,6.6364496221309,7.58,84.63,5.3
53.4,5.40349914036997,7.25,84.92,4.5
52.7,6.20431066640101,7.07,85.20,3.7
52.0,6.32904015516139,6.76,85.49,3.3
51.9,9.02990102416136,8.54,85.77,3.9
53.4,8.73914352329393,11.58,86.04,4.7
53.3,3.44637335032669,12.79,86.30,5.3
53.9,3.66485028376729,12.33,86.56,5.3
53.5,3.73297621216894,11.94,86.82,5.4
48.9,3.21176803803376,13.7,87.07,2.0
